ENSEMBL,ENTREZID,SYMBOL,DZQV_Plasmablasts,X925L_Plasmablasts,X9JD4_Plasmablasts,G4YW_Plasmablasts,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000164330,1879,EBF1,4.97104713,7.6622171,4.71678181,4.653141,141.23005,180.595423,189.88167,114.629217
ENSG00000245812,101927740,LINC02202,0.0226586,0.2798555,0.2996733,0.1546787,2.328913,7.159091,4.03361,3.042423
ENSG00000145860,153830,RNF145,2.229039,2.5899634,5.135838033,4.28556447,17.63825,21.7095682,17.82770206,19.73281199
ENSG00000253315,105377682,LINC01932,0,0.430427,0,0.160397,0,0,0.280697,0.305507
ENSG00000164332,134510,UBLCP1,17.3453,12.7898,11.397,14.8312,33.38981,25.586866,44.21931,47.40338
ENSG00000249738,285626,LOC285626,0.0256142,0.0577077,0.2581517,0.0714267,0.349778,0.6168946,2.0102873,1.084506
ENSG00000113302,3593,IL12B,0,0,0.038148,0.0441198,0.0862502,0.189667,0.117453,0.250042
ENSG00000253298,285627,LINC01845,0,0.0841894,0,0,0,0.0538196,0,0.414248
ENSG00000253311,101927766,LINC01847,0,0,0,0,0,0,0,0
ENSG00000170214,147,ADRA1B,0,0,0,0,0,0,0,0
ENSG00000113312,7265,TTC1,37.74349,27.686012,15.15583,27.008608,52.31791,25.72622,34.854295,45.81248
ENSG00000170234,114825,PWWP2A,10.213356,8.0333126,11.806593,6.11916,22.269889,25.2911733,49.191843,42.33199
ENSG00000170231,2172,FABP6,0,0,0,0,0,0,0,0
ENSG00000135083,79616,CCNJL,0.273275,0.347818,0,0,0.067114,0.344883,0.6860131,0.786701
ENSG00000145861,114898,C1QTNF2,0.0379393,0.127151,0.0656279,0.110785,0.517233,0.674632,0.507061,0.208992
ENSG00000221886,63920,ZBED8,0,0.0764024,0.465614,0.0213038,0.964385,0.592665,1.0941203,0.561509
ENSG00000164609,10569,SLU7,51.72617,35.751237,39.815437,44.13796,141.71531,103.51538,147.03087,120.517165
ENSG00000164611,9232,PTTG1,12.447474,13.02516,12.68863,7.88345,6.136246,4.15983,2.86526,4.286012
ENSG00000253522,107075116,MIR3142HG,0.439774,0.386535,0.0230282,0.215584,0,0,0,1.2222
ENSG00000283733,406938,MIR146A,0,0,0,0,0,0,0,0
ENSG00000118322,23120,ATP10B,0.349375,0.122597,0.387647,0.540961,0.858293,1.91997,2.59195,2.16056
ENSG00000253417,285629,LINC02159,0,0,0,0.0799962,0,0.150205,0.0942148,0
ENSG00000145864,2561,GABRB2,0,0,0.1700055,0,0.436679,0,0.0568238,0.310513
ENSG00000145863,2559,GABRA6,0,0,0,0,0,0,0.274554,0
ENSG00000022355,2554,GABRA1,0.0589037,0,0,0.160299,0.15738,0.275203,0.423718,0.614236
ENSG00000113327,2566,GABRG2,0.4663041,0.81763303,1.1619356,0.86577273,1.7128357,3.6800372,3.570543,5.4488901
ENSG00000113328,900,CCNG1,62.060681,67.079378,61.5214407,62.009464,72.031,91.41499,83.504517,94.835762
ENSG00000170584,134492,NUDCD2,15.16619,19.4665,10.070327,11.78222,29.27893,17.92689,9.050896,41.41283
