ENSEMBL,ENTREZID,SYMBOL,DZQV_CD8_naive,X925L_CD8_naive,X9JD4_CD8_naive,G4YW_CD8_naive,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000126460,5639,PRRG2,0,1.604624,0.47815,0.0801224,0.491722,0.447674,0,0
ENSG00000126464,57479,PRR12,0.351095,0.530685,7.061972,1.6591088,0.2816684,2.384212,3.773327,0.4965658
ENSG00000126458,6237,RRAS,3.28412,1.06063,2.67242,1.152021405,1.06395,1.52512,0.84229,3.62468
ENSG00000126461,58506,SCAF1,0.256186,0.724626,1.653277,1.289763,2.081506,2.191554,4.774296,1.702649
ENSG00000126456,3661,IRF3,90.928477,51.483738,71.172593,69.70339866,44.85249048,43.387348,69.43304,56.42433403
ENSG00000126453,83596,BCL2L12,4.167007,5.433894,5.542108,5.174647,1.732303,5.260246,1.915616,7.0187821
ENSG00000126457,3276,PRMT1,173.401911,63.733369,145.854868,117.408201,114.37264,56.66358,124.648242,135.989763
ENSG00000274306,100847074,MIR5088,0,0,0,0,0,0,0,0
ENSG00000224420,199800,ADM5,1.25908,2.14471,2.90994,3.56258,1.91037,1.33354,2.50486,0.425171
ENSG00000169169,126129,CPT1C,3.057657,3.27737,0.988712,2.064064,1.314321,4.7680562,3.886009,2.3072
ENSG00000126467,60385,TSKS,0,0,1.205309,3.131599,0,0,0,0
ENSG00000196961,160,AP2A1,9.57733,28.65373,16.721922,16.67194268,25.99426004,20.60191,25.54046001,15.64520001
ENSG00000276270,102465479,MIR6799,0,0,0,0,0,0,0,0
ENSG00000010361,80199,FUZ,26.62601001,21.34959,39.1173,37.8134864,25.23349705,13.596106,29.86658535,16.01837299
ENSG00000104973,81857,MED25,13.098848,19.691997,25.057566,19.591703,40.46423378,28.592189,29.023273,26.559714
ENSG00000284114,102465480,MIR6800,0,0,0,0,0,0,0,0
ENSG00000268006,100506033,PTOV1-AS1,2.717997,4.19674,4.39649,4.27085,6.885691,6.721827,9.46577,8.0428543
ENSG00000104960,53635,PTOV1,21.940211,34.33139092,21.43244,22.337974,31.915067,26.371039,30.349241,35.793987
ENSG00000265954,100616313,MIR4749,0,0,0,0,0,0,0,0
ENSG00000039650,11284,PNKP,20.28213687,31.344734,32.53640119,32.00933722,35.339112,33.622189,53.79030748,37.791372
ENSG00000204673,84335,AKT1S1,2.447865,7.54179,3.994645,6.3776795,3.624129,5.778475226,4.061483,4.818377
ENSG00000104946,79735,TBC1D17,16.0452206,51.66861,27.33118,37.399669,25.086055,27.612497,34.55839,26.670562
