Antibody_name,donor,Pf_exposure,IGHV,IGHD,IGHJ,light,IGKV_IGLV,IGKJ_IGLJ,IGHC,cluster_id,IGHV_SHM,IGKV_IGLV_SHM,KQPA_AUC,NPDP_AUC,NVD_AUC,NANP_AUC,CCSP_AUC,Pf_inhibition
D0972x1928,D72,III,3-30-3,6-19,4,lambda,4-69,3,IGHM,9,3,2,1,1.8,9.2,0.6,1,26.7
D0972x2031,D72,III,3-30-3,6-19,4,lambda,4-69,3,IGHM,9,3,2,1.2,2.5,10.7,0.7,1,34.6
D0972x1576,D72,II,3-30-3,1-14,3,kappa,3-11,1,IGHM,8,8,0,1.3,2.2,6.7,7.1,1.2,71.7
D0972x1593,D72,II,3-30-3,1-26,3,kappa,3-11,4,IGHM,7,7,0,1,1.7,1.9,5,1.1,45.9
D0972x1647,D72,II,3-30-3,1-26,3,kappa,3-11,4,IGHM,7,2,1,1.4,2.1,6.2,6.9,1.1,59.4
D0972x1782,D72,II,3-30-3,1-26,3,kappa,3-11,4,IGHM,7,7,1,1.3,2,1.9,1.6,1.2,52.7
D0972x1783,D72,II,3-30-3,1-26,3,kappa,3-11,4,IGHM,7,0,1,1.2,2,5.4,5.1,1.2,53.4
D0972x1547,D72,II,3-33,2-2,3,kappa,1-5,1,IGHM,0,5,1,0.9,1.5,2.3,9.7,0.6,66.1
D0972x1788,D72,II,3-30-3,1-26,5,kappa,3-11,1,IGHM,0,9,2,2.7,4.1,3.5,0.9,2.1,42.5
D0972x1834,D72,II,3-33,3-22,4,kappa,1-5,2,IGHM,0,0,0,1.2,2,1.7,9.2,1.5,36
D0972x1949,D72,III,3-33,5-24,3,kappa,1-5,1,IGHG1,0,4,0,1.6,4.9,10.8,11.9,1.3,96.7
D0972x1954,D72,III,3-33,3-22,4,kappa,1-5,1,IGHG1,0,7,3,1.1,2.1,9.6,12,0.9,86.4
D0972x2103,D72,III,3-33,2-8,3,kappa,1-5,2,IGHG1,0,5,0,1.5,10.6,12.4,13.4,1.4,100
